Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,11.24,10,96.5,3.4,14,10,64
0,1,11.24,10,96.5,3.4,14,20,96
0,1,11.24,10,96.5,3.4,14,40,144
0,1,11.24,10,96.5,3.4,14,50,166
0,1,11.24,10,96.5,3.4,7.4,10,34.6
0,1,11.24,10,96.5,3.4,7.4,20,80
0,1,11.24,10,96.5,3.4,7.4,40,158
0,1,11.24,10,96.5,3.4,7.4,50,190
0,1,9.5,5,109.75,4.5,0.3,10,32
0,1,9.5,5,109.75,4.5,0.3,20,37.5
0,1,9.5,5,109.75,4.5,0.3,40,49
0,1,9.5,5,109.75,4.5,0.3,50,57.2
0,1,9.5,5,109.75,4.5,0.3,100,99.8
0,1,9.5,5,109.75,4.5,0.3,150,141
0,1,9.5,5,109.75,4.5,14,10,62
0,1,9.5,5,109.75,4.5,14,20,97
0,1,9.5,5,109.75,4.5,14,40,145
0,1,9.5,5,109.75,4.5,14,50,165
0,1,9.5,5,109.75,4.5,14,100,234
0,1,9.5,5,109.75,4.5,7.4,10,20
0,1,9.5,5,109.75,4.5,7.4,20,58
0,1,9.5,5,109.75,4.5,7.4,40,120
0,1,9.5,5,109.75,4.5,7.4,50,149
0,1,7.49,5,128.4,3.5,0.3,10,27
0,1,7.49,5,128.4,3.5,0.3,20,31
0,1,7.49,5,128.4,3.5,0.3,40,37.6
0,1,7.49,5,128.4,3.5,0.3,50,39.4
0,1,7.49,5,128.4,3.5,0.3,100,47.9
0,1,7.49,5,128.4,3.5,0.3,150,51.5
0,1,7.49,5,128.4,3.5,0.3,200,57
0,1,7.49,5,128.4,3.5,14,10,47
0,1,7.49,5,128.4,3.5,14,20,73
0,1,7.49,5,128.4,3.5,14,40,106
0,1,7.49,5,128.4,3.5,14,50,121
0,1,7.49,5,128.4,3.5,14,100,173
0,1,7.49,5,128.4,3.5,7.4,10,25
0,1,7.49,5,128.4,3.5,7.4,20,26
0,1,7.49,5,128.4,3.5,7.4,40,52
0,1,7.49,5,128.4,3.5,7.4,50,66
0,1,3.75,5,136.6,3.7,0.3,10,29
0,1,3.75,5,136.6,3.7,0.3,20,34.8
0,1,3.75,5,136.6,3.7,0.3,40,41.8
